id;name;cooking;cooking_time;picture;picture_content_type
1;Shoes Circle Louisiana;WITH_COOKING;35225;../fake-data/blob/hipster.png;image/png
2;SMTP Loan;WITHOUT_COOKING;64712;../fake-data/blob/hipster.png;image/png
3;deposit Books Wooden;WITHOUT_COOKING;44967;../fake-data/blob/hipster.png;image/png
4;leverage Cambridgeshire;WITH_COOKING;59650;../fake-data/blob/hipster.png;image/png
5;hybrid Sterling Handmade;WITH_COOKING;5897;../fake-data/blob/hipster.png;image/png
6;Facilitator client-driven;WITHOUT_COOKING;7882;../fake-data/blob/hipster.png;image/png
7;programming rich Street;WITH_COOKING;32354;../fake-data/blob/hipster.png;image/png
8;Loan;WITH_COOKING;29801;../fake-data/blob/hipster.png;image/png
9;quantify Vermont;WITHOUT_COOKING;112;../fake-data/blob/hipster.png;image/png
10;regional embrace;WITHOUT_COOKING;37479;../fake-data/blob/hipster.png;image/png
